skid;idKategorie;Beschreibung
152;5;Hallenbadabo
8;2;Einzelschlüssel
10;2;Schlüsselbund
155;12;Portemonnaie
125;23;Dreirad
156;10;Funkgerät
3;5;Halbtaxabo
4;5;Mehrfahrtenkarte
5;5;Billette
47;6;Fahrzeugausweis
9;2;Autoschlüssel
11;2;Schlüsseletui
44;28;Natel
49;6;ID
46;6;Ausländerausweis
48;6;Führerausweis
162;6;Kundenkarten
164;5;Bäreabi
166;6;Impfausweis
168;0;Diverses
170;14;Halstuch
171;21;Ohrschmuck
177;17;Niveliergerät
179;6;Fähigkeitszeugnis
183;17;Lupe
182;11;Fahrradschloss
184;15;Blutzuckermessgerät
185;14;Hüte / Mützen
186;13;Reisetasche
188;15;Röntgenbilder
33;7;Buch
189;26;Bohrmaschine
191;18;Pfeiffentasche
195;6;Niederlassungsausweis
39;1;Bargeld
196;15;Kosmetiktasche
50;6;Pass
51;6;Agenda
52;6;Bibliothekkarte
53;6;Badge
54;6;EC-/Bank-/Postcard
55;7;Ordner
56;7;Katalog
57;10;Pager
146;10;Elektr. Agenda
59;10;Game Boy
60;10;Laptop
61;11;Kontrollschild
62;11;Velohelm
63;11;Motorradhelm
64;11;Pumpe
65;11;Fahrzeugkoffer
202;13;Kartonschachtel
205;11;Fahrradanhänger
68;13;Koffer
69;13;Handtasche
70;13;Rucksack
71;13;Bauchtasche
72;13;Mappe / Aktenkoffer
73;13;Sportsack
74;13;Einkaufstasche
75;13;Plastiksack
76;14;Mantel
77;14;Jacke
78;14;Strickjacke
79;14;Pullover
80;14;Kinderkleider
81;14;Leibwäsche
82;15;Medikamente
83;15;Krücke
87;15;Gehstock
88;15;Zahnprothese
89;15;Teilprothese
90;15;Hörgerät
91;15;Toilettentasche/Beautycase
92;15;Schminksachen
93;16;Plattenspieler
94;16;CD Player
95;16;CD
96;16;Instrument
97;17;Brille
98;17;Kontaktlinsen
99;17;Fotoapparat
100;17;Feldstecher
101;17;Theaterglas
102;17;Foto
103;17;Fotoalbum
104;18;Feuerzeug
105;18;Zigarettenetui
106;18;Pfeiffe
107;19;Stockschirm
108;19;Knirps
244;19;Stock
116;21;Armkette/Armreif
117;21;Halskette
118;21;Anhänger
119;21;Brosche
120;21;Fingerring
154;5;GA
122;22;Kugelschreiber
123;22;Farben
124;22;Schreibetui
126;23;Trottinette
127;23;Puppe
128;23;Plüschtier
129;23;Spielzeugauto
130;23;Kinderwagen
131;24;Rollbrett
132;24;Inlineskates
133;24;Schlitten
134;24;Schlittschuhe
135;24;Hockeystock
136;24;Fischereiartikel
139;25;Hundeleine
140;26;Werkzeug lose
141;26;Werkzeugkasten
206;21;Münze
208;5;Saisonabonnement
210;16;Walkman
212;14;Schuhe
214;14;Hose
215;12;Brieftasche
216;14;Regenjacke
217;15;Blutdruckmessgerät
219;14;Lumber
220;28;Ladegerät
222;21;Stoppuhr
225;14;Bluse
226;11;Fahrradlampe
227;10;Video Rekorder
230;17;Filmkamera
232;28;Handfree-Kit
233;10;Diktiergerät
242;17;Objektiv
237;16;Radio
238;14;Rock
240;14;Krawatte
245;13;Turnsack
246;13;Einkaufswagen
247;17;Barometer/Thermometer/Hygrometer
248;13;Sporttasche
249;14;Herrenanzug
250;21;Fusskette
251;23;Schlitten
252;15;Aerztekoffer
157;12;Couvert
158;12;Etui
169;14;Paar Handschuhe
165;21;Uhr
161;10;PC-Tower
167;13;Umhängetasche
174;6;AHV-Ausweis
176;13;Beauty Case
187;6;Personalausweis
190;17;Blitzgerät
192;10;Datenträger
197;14;Schürze
207;10;Mischpult
201;13;Badetasche
209;23;Ball
211;26;Pfadimesser
213;14;T'shirt
218;15;Telealarm
221;14;Regenmantel
223;26;Taschenmesser
229;14;Gilet
231;14;Hemd
234;14;Gurt
236;24;Hüpfgerät
243;16;Geigen- / Cello-Bogen
253;10;Memory Stick
254;5;Liberoabo
255;6;Monatsabonnement
256;16;Kasette
257;14;Kleid
258;6;Schülerausweis
259;23;Diverses
260;24;Skischuhe
261;6;Zeugnis
262;24;Ski / Snowboard
263;24;Tennisschläger
264;16;MP3 Player / iPod
265;16;DVD
267;10;Poket PC
268;24;Schwimmhilfe
269;6;Vertrag
270;21;Edelstein
271;21;Modeschmuck
272;10;Scanner
273;6;Familienbüchlein
274;6;Parkkarte
278;10;Tablet
283;5;Swiss Pass
280;10;Ladegerät
286;14;Veston
287;21;Kiste
288;10;eBook-Reader
289;24;Reitsport
291;11;Kofferraumabdeckung
292;10;Fitness-Armband
293;7;Agenda
294;24;Kletterartikel
308;15;Pulsuhr
296;16;Kopfhörer
297;10;Boxen
298;26;Zange
299;26;Hammer
300;26;Schraubenzieher
301;10;Taschenrechner
303;13;Papiertragetasche
304;17;Laser-Gerät
305;26;Laser-Gerät
306;26;Kettensäge
307;6;Firmenausweis
309;24;Golfschläger
314;26;Messgerät
311;16;Schallplatten
312;14;Handschuhe
313;18;Tabaketui
316;10;Geldspielautomat
317;13;Aktentasche
318;15;Atemtherapiegerät
282;10;Akku
